method,option,option_key,eps,price,reference,abs_error,std_error,rmse_proxy,runtime,cost,L,N_l,n_paths,n_steps,converged,rep,level_means,level_vars,allocation_rounds_by_L
Modified MLMC,Asian Call,asian,0.0005,0.057568696720957165,0.057427662839515906,0.000141033881441259,0.0003156735698487524,0.0003457460895157634,0.020802415907382965,1279147,3.0,"[107927, 34244, 10000, 10000]",162171,,True,1,"[0.050929029692012975, 0.006036877285636257, 0.0005094554371284731, 9.333430617945631e-05]","[0.004007385086162337, 0.0016078546652108228, 0.00014010086215050872, 1.556314462581291e-05]","[5, 5, 4, 3]"
Standard MC,Asian Call,asian,0.001,0.056189797067516326,0.057427662839515906,0.00123786577199958,0.0006988092466685174,0.0014214942957034816,0.23638424999080598,12912640,,[12610],12610,1024.0,True,1,,,
Original Giles MLMC,Asian Call,asian,0.001,0.058249965710457735,0.057427662839515906,0.0008223028709418295,0.0005808187643356588,0.0010067434869735074,0.002288250019773841,274143,2.0,"[24143, 10000, 10000]",44143,,True,1,"[0.05102532831738133, 0.006731561146879565, 0.0004930762461968368]","[0.004078571228398827, 0.0015442578122244516, 0.00013990752439421174]",
Modified MLMC,Asian Call,asian,0.001,0.05749537936314576,0.057427662839515906,6.771652362985714e-05,0.0005861298581597926,0.0005900285910012595,0.002686625113710761,273158,2.0,"[23158, 10000, 10000]",43158,,True,1,"[0.05122401271605706, 0.005706823450867044, 0.0005645431962216556]","[0.003998952851070887, 0.0015662994592162925, 0.00014236994687046606]","[1, 5, 4]"
Standard MC,European Call,european,5e-05,0.10455871855812254,0.10450583572185568,5.288283626686541e-05,3.549178523611357e-05,6.368878387027424e-05,9450.488848292036,1127573880832,,[17205412],17205412,65536.0,True,2,,,
Original Giles MLMC,European Call,european,5e-05,0.10449137095579296,0.10450583572185568,1.4464766062718959e-05,3.5443008393506795e-05,3.828101750517323e-05,0.4703530417755246,56714046,3.0,"[25506916, 2107026, 519216, 128596]",28261754,,True,2,"[0.10204699253071359, 0.002057239636717009, 0.00032461930294539143, 6.251948541697127e-05]","[0.01611389142875052, 0.0004394189775056155, 0.00010685552706650392, 2.7019280247210265e-05]",
Modified MLMC,European Call,european,5e-05,0.1047872489809763,0.10450583572185568,0.000281413259120622,0.00010389812868624237,0.0002999804052824006,0.23259641602635384,28480780,3.0,"[1610000, 1210000, 518939, 130525]",3469464,,True,2,"[0.10234794433407646, 0.0021131356688669466, 0.0002810198829271959, 4.51490951056927e-05]","[0.016124802700546625, 0.0004448318794900254, 0.00010625430824707613, 2.702299602512923e-05]","[8, 8, 8, 8]"
Standard MC,European Call,european,0.0001,0.10449008918087602,0.10450583572185568,1.5746540979660884e-05,7.118114589594197e-05,7.290205130093059e-05,596.7140849167481,69996036096,,[4272219],4272219,16384.0,True,2,,,
Original Giles MLMC,European Call,european,0.0001,0.10441368322114201,0.10450583572185568,9.21525007136631e-05,7.063757800328091e-05,0.00011611094183560511,0.12658479204401374,14265657,3.0,"[6391947, 532402, 128905, 32920]",7086174,,True,2,"[0.10201674845018671, 0.0020970212458187878, 0.0002813394293175187, 1.857409581899472e-05]","[0.01610030420936126, 0.00044721470819033215, 0.0001047460082438194, 2.6936727119824462e-05]",
Modified MLMC,European Call,european,0.0001,0.10442034935876783,0.10450583572185568,8.548636308784718e-05,0.000111707669166536,0.00014066457131988672,0.07926995772868395,9520140,3.0,"[1610000, 529884, 130024, 33253]",2303161,,True,2,"[0.10195075280605391, 0.002072509706191819, 0.0003138902871168148, 8.31965594052998e-05]","[0.016079602428827073, 0.0004415332527165032, 0.00010639831881027918, 2.7922914202867018e-05]","[8, 8, 8, 8]"
